adm1_name,cast_raw,cast_state,adm1_join,forecast_date
Aguascalientes,10.0,0.005486132276744898,Aguascalientes,2025-11-01
Baja California,276.0,0.8162145687290463,Baja California,2025-11-01
Baja California Sur,10.0,0.005486132276744898,Baja California Sur,2025-11-01
Campeche,16.0,0.023773239865894552,Campeche,2025-11-01
Chiapas,28.0,0.060347455044193865,Chiapas,2025-11-01
Chihuahua,108.0,0.3041755562328559,Chihuahua,2025-11-01
Ciudad de Mexico,118.0,0.33465406888143867,Ciudad De Mexico,2025-11-01
Coahuila de Zaragoza,12.0,0.01158183480646145,Coahuila De Zaragoza,2025-11-01
Colima,113.0,0.31941481255714727,Colima,2025-11-01
Durango,24.0,0.04815604998476076,Durango,2025-11-01
Guanajuato,410.0,1.0,Guanajuato,2025-11-01
Guerrero,164.0,0.4748552270649194,Guerrero,2025-11-01
Hidalgo,35.0,0.08168241389820179,Hidalgo,2025-11-01
Jalisco,129.0,0.3681804327948797,Jalisco,2025-11-01
Mexico,79.0,0.2157878695519659,Mexico,2025-11-01
Michoacan de Ocampo,253.0,0.7461139896373059,Michoacan De Ocampo,2025-11-01
Morelos,123.0,0.34989332520573,Morelos,2025-11-01
Nayarit,18.0,0.029868942395611105,Nayarit,2025-11-01
Nuevo Leon,222.0,0.6516306004266994,Nuevo Leon,2025-11-01
Oaxaca,34.0,0.07863456263334352,Oaxaca,2025-11-01
Puebla,174.0,0.5053337397135022,Puebla,2025-11-01
Queretaro,18.0,0.029868942395611105,Queretaro,2025-11-01
Quintana Roo,30.0,0.06644315757391041,Quintana Roo,2025-11-01
San Luis Potosi,6.0,0.0,San Luis Potosi,2025-11-01
Sinaloa,711.0,1.0,Sinaloa,2025-11-01
Sonora,146.0,0.4199939042974704,Sonora,2025-11-01
Tabasco,48.0,0.12130448034135936,Tabasco,2025-11-01
Tamaulipas,54.0,0.13959158793050902,Tamaulipas,2025-11-01
Tlaxcala,12.0,0.01158183480646145,Tlaxcala,2025-11-01
Veracruz de Ignacio de la Llave,169.0,0.4900944833892108,Veracruz De Ignacio De La Llave,2025-11-01
Yucatan,0.0,0.0,Yucatan,2025-11-01
Zacatecas,16.0,0.023773239865894552,Zacatecas,2025-11-01
